Fetched: 	Url
Fetched URL:	http://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=nalini
Fetched URL:	http://www.ics.uci.edu/~jutts/st108
Fetched URL:	https://sli.ics.uci.edu/PmWiki/CustomWikiStyles
Fetched URL:	https://duttgroup.ics.uci.edu/doku.php/projects?image=bbq_2016.jpg&ns=&tab_details=view&do=media
Fetched URL:	http://www.ics.uci.edu/%7Edjr/DebraJRichardson/SE4S.html
Fetched URL:	http://sli.ics.uci.edu/Code/MxObjects
Fetched URL:	http://www.ics.uci.edu/~vpalepu/2013/07/19/The-Brain-accepted-at-VISSOFT-NIER-2013.html
Fetched URL:	http://www.ics.uci.edu/~mjcarey/MJCarey_Professional_Experience.html
Fetched URL:	https://www.ics.uci.edu/community/events/openhouse/research02.html
Fetched URL:	http://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=44dfd561d70f008f51b055cdb76884f4
Fetched URL:	http://graphmod.ics.uci.edu/group/wsearch?action=login
Fetched URL:	http://www.ics.uci.edu/~ziv/ooad/classes/tsld002.htm
Fetched URL:	https://sli.ics.uci.edu/Classes/2012F-273a
Fetched URL:	https://duttgroup.ics.uci.edu/doku.php/drg101
Fetched URL:	http://www.ics.uci.edu/community/news/view_news.php?id=1116
Fetched URL:	http://duttgroup.ics.uci.edu/doku.php/group?image=alfonso_avila.jpg&ns=&tab_details=view&do=media
Fetched URL:	http://www.ics.uci.edu/~dechter/publications/r92.html
Fetched URL:	http://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=74d2879c4e1971392fbd9ab6f8b44ac3
Fetched URL:	https://www.ics.uci.edu/ugrad/resources/ICS_StudentOrgs.php
Fetched URL:	http://www.ics.uci.edu/~wjohnson/BIDA/Ch4/Ch4Rcode.txt
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/start?rev=1396651058
Fetched URL:	http://sli.ics.uci.edu/extras/cs178/LinearSVM_Demo.html
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=40fd244eb33e56d15747d2acd007dc6b
Fetched URL:	https://sli.ics.uci.edu/PmWiki/Security
Fetched URL:	http://sli.ics.uci.edu/Classes/2010W-274a?action=login
Fetched URL:	https://www.ics.uci.edu/ugrad/policies/Computer_Acct_Backup.php
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=a90e8a94c6bb3de8abc1b22d7d12c873
Fetched URL:	http://www.ics.uci.edu/~kay/turnitin.html
Fetched URL:	http://www.ics.uci.edu/community/news/articles/view_article?id=20
Fetched URL:	https://sli.ics.uci.edu/Classes-CS178-Notes/Bagging?action=login
Fetched URL:	http://www-db.ics.uci.edu/pages/software/ldr.shtml
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/contact?do=login&sectok=d77614003c232f1e163f27510a4ba263
Fetched URL:	http://www.ics.uci.edu/~feldman/lec6F00.html
Fetched URL:	https://sli.ics.uci.edu/Pubs/Bibliography
Fetched URL:	http://sprout.ics.uci.edu/past_projects/odb/index.html
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=37e4fc95753dc00ef217053799a7bc28
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=64291e747c02ff18ebe952722d40a982
Fetched URL:	https://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=8ffc06b06b10e59f0a2b18549fd666b7
Fetched URL:	http://cbcl.ics.uci.edu/doku.php/software/arem?do=login&sectok=b328b09239817aaee74f66af4e694133
